vehicle_id,stop_order,node,load_after_node
1,0,-1,0.0
1,1,12,2.0
1,2,26,3.0
1,3,3,5.0
1,4,1,45.0
1,5,31,47.0
1,6,20,50.0
1,7,-2,50.0
2,0,-1,0.0
2,1,25,1.0
2,2,27,3.0
2,3,23,6.0
2,4,35,9.0
2,5,6,12.0
2,6,24,13.0
2,7,30,22.0
2,8,11,23.0
2,9,13,25.0
2,10,39,27.0
2,11,7,28.0
2,12,36,30.0
2,13,-2,30.0
4,0,-1,0.0
4,1,16,2.0
4,2,15,4.0
4,3,17,5.0
4,4,2,6.0
4,5,4,8.0
4,6,5,16.0
4,7,10,18.0
4,8,38,19.0
4,9,9,20.0
4,10,-2,20.0
5,0,-1,0.0
5,1,37,2.0
5,2,-2,20.0
6,0,-1,0.0
6,1,32,2.0
6,2,21,3.0
6,3,22,4.0
6,4,33,5.0
6,5,8,6.0
6,6,34,8.0
6,7,19,11.0
6,8,14,13.0
6,9,29,14.0
6,10,18,16.0
6,11,40,18.0
6,12,28,20.0
6,13,-2,20.0
