vehicle_id,stop_order,node,load_after_node
1,0,-1,0.0
1,1,2,2.0
1,2,26,2.0
1,3,16,3.0
1,4,9,6.0
1,5,5,8.0
1,6,15,93.0
1,7,31,95.0
1,8,1,97.0
1,9,10,98.0
1,10,12,100.0
1,11,-2,100.0
2,0,-1,0.0
2,1,17,2.0
2,2,4,4.0
2,3,29,7.0
2,4,20,9.0
2,5,3,11.0
2,6,38,11.0
2,7,34,14.0
2,8,36,15.0
2,9,22,18.0
2,10,21,87.0
2,11,33,89.0
2,12,32,90.0
2,13,8,92.0
2,14,7,94.0
2,15,28,96.0
2,16,39,97.0
2,17,25,100.0
2,18,-2,100.0
3,0,-1,0.0
3,1,40,1.0
3,2,14,2.0
3,3,19,4.0
3,4,35,6.0
3,5,6,8.0
3,6,13,10.0
3,7,30,12.0
3,8,24,94.0
3,9,11,95.0
3,10,27,95.0
3,11,23,95.0
3,12,18,97.0
3,13,37,100.0
3,14,-2,100.0
