request_id,lab_node_id,num_samples,ready_time,due_time,service_time,max_transport_time
1,1,14,0,800,5,800
2,2,15,0,800,5,800
3,3,18,0,800,5,800
4,4,19,0,800,5,800
5,5,12,0,800,5,800
6,6,18,0,800,5,800
7,7,20,0,800,5,800
8,8,11,0,800,5,800
9,9,24,0,800,5,800
10,10,3,0,800,5,800
11,11,5,0,800,5,800
12,12,20,0,800,5,800
13,13,12,0,800,5,800
14,14,8,0,800,5,800
15,15,16,0,800,5,800
16,16,4,0,800,5,800
17,17,19,0,800,5,800
18,18,19,0,800,5,800
19,19,14,0,800,5,800
20,20,17,0,800,5,800
21,21,6,0,800,5,800
22,22,23,0,800,5,800
23,23,0,0,800,5,800
24,24,22,0,800,5,800
25,25,24,0,800,5,800
26,26,0,0,800,5,800
27,27,0,0,800,5,800
28,28,15,0,800,5,800
29,29,22,0,800,5,800
30,30,18,0,800,5,800
31,31,13,0,800,5,800
32,32,10,0,800,5,800
33,33,16,0,800,5,800
34,34,23,0,800,5,800
35,35,14,0,800,5,800
36,36,3,0,800,5,800
37,37,24,0,800,5,800
38,38,0,0,800,5,800
39,39,10,0,800,5,800
40,40,7,0,800,5,800
