vehicle_id,lab_node_id,visit_time,ready_time,due_time,service_time,max_transport_time,delivery_time,transport_time,slack
1,1,487.65596,4,600,5,600,600.0,107.34404,492.65596
1,7,430.25391,4,600,5,600,600.0,164.74608999999998,435.25391
1,8,530.65297,0,600,5,600,600.0,64.34703000000002,535.65297
1,10,572.29289,3,600,5,600,600.0,22.707109999999943,577.29289
1,12,461.51289,4,600,5,600,600.0,133.48710999999997,466.51289
1,14,405.37182,1,600,5,600,600.0,189.62818,410.37182
1,16,497.90708,4,600,5,600,600.0,97.09291999999999,502.90708
1,18,395.90723,3,600,5,600,600.0,199.09276999999997,400.90723
1,21,537.72183,3,600,5,600,600.0,57.278170000000046,542.72183
1,22,442.6917,3,600,5,600,600.0,152.30829999999997,447.6917
1,25,588.56813,0,600,5,600,600.0,6.4318700000000035,593.56813
1,28,378.63459,4,600,5,600,600.0,216.36541,383.63459
1,29,580.6418,1,600,5,600,600.0,14.35820000000001,585.6418
1,31,546.67334,2,600,5,600,600.0,48.32665999999995,551.67334
1,32,516.99102,1,600,5,600,600.0,78.00897999999995,521.99102
1,33,557.77225,4,600,5,600,600.0,37.227750000000015,562.77225
1,34,454.14084,0,600,5,600,600.0,140.85915999999997,459.14084
1,36,473.81655,0,600,5,600,600.0,121.18345,478.81655
1,37,418.55705,4,600,5,600,600.0,176.44295,423.55705
1,40,388.01446,3,600,5,600,600.0,206.98554000000001,393.01446
4,2,493.53567,3,600,5,600,600.0,101.46433000000002,498.53567
4,3,518.43102,4,600,5,600,600.0,76.56898000000001,523.43102
4,4,566.0458,2,600,5,600,600.0,28.954200000000014,571.0458
4,15,547.09804,2,600,5,600,600.0,47.90196000000003,552.09804
4,17,533.38997,0,600,5,600,600.0,61.61003000000005,538.38997
4,20,502.31676,2,600,5,600,600.0,92.68324000000001,507.31676
4,23,587.81511,4,600,5,600,600.0,7.184889999999996,592.81511
4,26,509.99049,3,600,5,600,600.0,85.00950999999998,514.99049
4,38,554.37214,3,600,5,600,600.0,40.627860000000055,559.37214
4,39,487.29256,2,600,5,600,600.0,107.70744000000002,492.29256
6,6,560.07,4,600,5,600,600.0,34.92999999999995,565.07
6,11,581.47559,4,600,5,600,600.0,13.524409999999989,586.47559
6,19,552.46496,4,600,5,600,600.0,42.53503999999998,557.46496
6,27,541.19074,2,600,5,600,600.0,53.809259999999995,546.19074
6,35,568.19468,4,600,5,600,600.0,26.80532000000005,573.19468
8,5,547.4308,2,600,5,600,600.0,47.56920000000002,552.4308
8,9,539.66517,2,600,5,600,600.0,55.33483000000001,544.66517
8,13,527.43427,0,600,5,600,600.0,67.56573000000003,532.43427
8,24,574.15261,1,600,5,600,600.0,20.84739000000002,579.15261
8,30,565.52346,2,600,5,600,600.0,29.47654,570.52346
