request_id,lab_node_id,demand,ready_time,due_time,service_time,max_transport_time
1,1,10,0,480,5,240
2,2,10,0,480,5,240
3,3,10,0,480,5,240
4,4,10,0,480,5,240
5,5,10,0,480,5,240
6,6,10,0,480,5,240
7,7,10,0,480,5,240
8,8,10,0,480,5,240
9,9,10,0,480,5,240
10,10,10,0,480,5,240
11,11,10,0,480,5,240
12,12,10,0,480,5,240
13,13,10,0,480,5,240
14,14,10,0,480,5,240
15,15,10,0,480,5,240
16,16,10,0,480,5,240
17,17,10,0,480,5,240
18,18,10,0,480,5,240
19,19,10,0,480,5,240
20,20,10,0,480,5,240
21,21,10,0,480,5,240
22,22,10,0,480,5,240
23,23,10,0,480,5,240
24,24,10,0,480,5,240
25,25,10,0,480,5,240
26,26,10,0,480,5,240
27,27,10,0,480,5,240
28,28,10,0,480,5,240
29,29,10,0,480,5,240
30,30,10,0,480,5,240
31,31,10,0,480,5,240
32,32,10,0,480,5,240
33,33,10,0,480,5,240
34,34,10,0,480,5,240
35,35,10,0,480,5,240
36,36,10,0,480,5,240
37,37,10,0,480,5,240
38,38,10,0,480,5,240
39,39,10,0,480,5,240
40,40,10,0,480,5,240
