vehicle_id,lab_node_id,visit_time,ready_time,due_time,service_time,max_transport_time
1,1,36.000126,0,180,5,180
1,2,91.912315,0,180,5,180
1,3,81.674345,0,180,5,180
1,4,13.677299,0,180,5,180
1,7,110.3552,0,180,5,180
1,15,154.17792,0,180,5,180
1,17,21.192585,0,180,5,180
1,25,132.66658,0,180,5,180
1,28,140.46605,0,180,5,180
1,29,98.141421,0,180,5,180
1,31,74.163682,0,180,5,180
1,32,50.514046,0,180,5,180
1,33,61.279175,0,180,5,180
1,37,123.14701,0,180,5,180
1,38,161.45203,0,180,5,180
2,6,98.386005,0,180,5,180
2,11,108.58797,0,180,5,180
2,13,66.430232,0,180,5,180
2,16,152.84063,0,180,5,180
2,18,16.152377,0,180,5,180
2,20,30.510098,0,180,5,180
2,21,166.74875,0,180,5,180
2,24,82.37228,0,180,5,180
2,26,121.33308,0,180,5,180
2,27,39.756258,0,180,5,180
2,30,53.137546,0,180,5,180
2,39,5.0688328,0,180,5,180
2,40,134.19589,0,180,5,180
3,5,136.83972,0,180,5,180
3,8,73.887541,0,180,5,180
3,9,56.255499,0,180,5,180
3,10,118.19787,0,180,5,180
3,12,124.99129,0,180,5,180
3,14,9.7064579,0,180,5,180
3,19,174.51261,0,180,5,180
3,22,35.770302,0,180,5,180
3,23,19.541513,0,180,5,180
3,34,111.51791,0,180,5,180
3,35,95.765179,0,180,5,180
3,36,154.61688,0,180,5,180
