vehicle_id,from_node,to_node,travel_time_min
1,-1,20,6.862779528129181
1,2,25,1.543514472597091
1,3,11,8.316762703295845
1,5,12,5.881363330653859
1,9,16,2.690612007038834
1,11,24,9.913244965471325
1,12,2,3.1297977119068627
1,16,5,0.0691907138670732
1,20,3,3.605303832281536
1,24,9,15.273216091903189
1,25,-2,5.384957004635905
2,-1,8,9.579317707552583
2,4,17,2.506343521826416
2,6,13,3.601207715955353
2,8,21,2.024141167514594
2,10,15,4.066189430259005
2,13,14,8.222969664807698
2,14,18,4.432773920721326
2,15,6,11.18311028755762
2,17,10,11.254566906608328
2,18,23,7.711354136346864
2,19,-2,9.729416703033063
2,21,4,9.869894411571336
2,23,19,3.6571694606691314
3,-1,1,6.897906102578739
3,1,22,7.785348496917591
3,7,-2,4.577611389249567
3,22,7,8.978572464936223
