name,lat,lon,type
"pl. Grunwaldzki 18-20, Wroclaw, Poland",51.1114384,17.058332,lab
"Plac Hirszfelda 16/17, Wroclaw, Poland",51.0947123,17.014853,lab
"Św. Macieja 8, Wroclaw, Poland",51.1201557,17.036893,lab
"Bierutowska 17, Wroclaw, Poland",51.1483793,17.1180107,lab
"Bonczyka 20, Wroclaw, Poland",51.1368202,17.0382538,lab
"Budziszyńska 62a, Wroclaw, Poland",51.1126,16.9593353,lab
"Buforowa 75, Wroclaw, Poland",51.0566047,17.056557,lab
"Canaletta 4, Wroclaw, Poland",51.1043068,17.1158013,lab
"Chorwacka 41c, Wroclaw, Poland",51.138894,17.0258008,lab
"Dobrzyńska 21/23, Wroclaw, Poland",51.1069722,17.0462103,lab
"Dokerska 2a, Wroclaw, Poland",51.1379094,16.9652863,lab
"Gwarna 6a, Wroclaw, Poland",51.100954,17.0382867,lab
"Horbaczewskiego 35, Wroclaw, Poland",51.1248453,16.9713914,lab
"Ibn Siny Awicenny 53, Wroclaw, Poland",51.0802712,16.9546089,lab
"Jaracza 75h, Wroclaw, Poland",51.1261167,17.0586097,lab
"Kasprowicza 9a, Wroclaw, Poland",51.1357905,17.0381908,lab
"Kiełczowska 70, Wroclaw, Poland",51.1465327,17.135202,lab
"Krzycka 94, Wroclaw, Poland",51.0666174,16.9885086,lab
"Mińska 5, Wroclaw, Poland",51.0995431,16.9414301,lab
"Młodych Techników 7, Wroclaw, Poland",51.1136467,17.0125389,lab
"Olszewskiego 21, Wroclaw, Poland",51.1026574,17.0966575,lab
"Opolska 131, Wroclaw, Poland",51.0718031,17.0896356,lab
"Ostrowskiego 3, Wroclaw, Poland",51.0949628,16.9775254,lab
"Eluarda 7, Wroclaw, Poland",51.1469381,16.8664066,lab
"Pereca 20/1a, Wroclaw, Poland",51.0986084,17.006909,lab
"Piłsudskiego 4a, Wroclaw, Poland",51.10433,17.0228355,lab
"Popowicka 67, Wroclaw, Poland",51.1285056,16.9905308,lab
"Powstańców Śląskich 168, Wroclaw, Poland",51.084135,17.0111747,lab
"Powstańców Śląskich 60, Wroclaw, Poland",51.0962404,17.0244437,lab
"Rajska 71, Wroclaw, Poland",51.1416345,16.8981872,lab
"Sienkiewicza 110, Wroclaw, Poland",51.1160912,17.0602817,lab
"Strachocińska 159, Wroclaw, Poland",51.1023977,17.1555389,lab
"Swojczycka 69, Wroclaw, Poland",51.1129736,17.1215822,lab
"Traugutta 142, Wroclaw, Poland",51.0975152,17.0562809,lab
"Trawowa 73, Wroclaw, Poland",51.1001953,16.9526309,lab
"Warszawska 2, Wroclaw, Poland",51.0637986,17.0799235,lab
"Weigla 12, Wroclaw, Poland",51.0763938,17.0227629,lab
"Zakładowa 11h, Wroclaw, Poland",51.1299249,17.0437041,lab
"Żelazna 34, Wroclaw, Poland",51.096975,17.0081703,lab
"Zwycięska 41, Wroclaw, Poland",51.0594015,17.0119751,lab
"Borowska 213, Wroclaw, Poland",51.0745091,17.0310205,hospital
